City,Country,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed
New York,USA,2022-08-18,52.8,19.35,9.38,5.45,19.78,0.0,8.1,3.3,69.9,7.9
Cape Town,South Africa,2015-07-30,91.8,33.9,65.55,6.21,13.49,24.39,20.23,25.5,61.6,5.9
Delhi,India,2017-11-16,205.39,75.69,151.24,37.45,28.8,62.86,44.09,33.6,56.4,3.2
Jakarta,Indonesia,2016-10-13,141.97,54.36,116.04,26.44,8.69,41.65,40.51,29.7,82.3,2.6
Dhaka,Bangladesh,2016-12-01,220.14,78.34,160.57,38.73,21.95,60.8,37.86,4.0,43.8,1.6
Lagos,Nigeria,2021-05-13,165.63,65.4,118.18,20.81,20.63,49.74,31.48,26.5,64.6,6.8
Seoul,South Korea,2025-10-16,60.98,42.83,71.68,6.08,4.02,19.18,23.11,15.6,95.0,4.6
Jakarta,Indonesia,2019-04-18,89.85,39.74,83.82,19.6,16.69,29.02,26.15,1.8,81.4,3.8
Istanbul,Turkey,2024-06-20,115.08,43.15,82.25,15.77,13.96,35.54,15.77,29.5,49.3,2.8
Sydney,Australia,2016-08-18,52.39,7.33,23.07,17.45,7.55,9.27,0.0,5.6,70.7,10.2
Berlin,Germany,2021-04-22,53.22,37.63,58.55,4.65,15.33,6.07,14.26,19.0,75.5,2.9
Karachi,Pakistan,2015-04-09,160.25,69.99,133.54,35.67,22.95,51.93,27.55,29.4,58.1,5.7
Sydney,Australia,2016-03-10,48.98,38.9,83.67,6.28,5.69,30.16,18.43,35.5,49.9,0.8
Beijing,China,2018-06-28,193.45,64.24,138.51,31.61,29.6,68.42,29.91,35.8,63.9,3.2
Singapore,Singapore,2015-03-19,53.6,21.75,22.64,8.57,6.29,24.55,20.78,34.8,31.0,2.1
Jakarta,Indonesia,2015-02-19,155.23,55.66,83.14,,23.79,35.7,45.17,24.6,81.3,5.9
Moscow,Russia,2016-02-25,137.28,61.2,107.09,23.06,24.64,38.04,19.88,3.8,72.7,5.1
Nairobi,Kenya,2020-05-14,108.81,75.95,132.79,18.21,10.32,29.82,14.94,29.0,84.3,1.5
Istanbul,Turkey,2022-01-27,184.58,61.61,94.27,32.64,24.17,60.51,44.7,23.8,65.9,2.0
Paris,France,2019-12-26,64.91,31.15,48.83,1.86,12.59,15.84,19.9,14.7,60.0,6.0
Dubai,UAE,2019-10-31,76.88,36.99,74.61,14.16,24.62,15.93,17.38,13.9,48.5,4.0
Lahore,Pakistan,2024-05-09,113.44,55.96,94.92,16.42,8.06,30.59,19.68,0.6,74.6,7.1
Moscow,Russia,2017-09-14,66.3,31.83,56.26,9.3,11.46,32.67,9.8,28.7,64.7,6.1
Delhi,India,2023-11-16,281.4,124.98,220.78,39.21,42.35,79.07,64.06,31.8,68.1,4.7
New York,USA,2018-05-17,44.89,14.1,35.02,8.57,3.23,16.94,12.3,24.4,65.7,5.3
Cairo,Egypt,2021-12-09,227.45,88.53,192.0,40.87,39.34,81.32,44.03,21.2,74.3,1.9
Dubai,UAE,2019-10-10,77.68,34.86,56.01,8.4,12.75,28.86,23.2,33.3,78.6,2.3
Jakarta,Indonesia,2017-06-15,158.94,41.74,64.88,26.45,14.56,33.13,43.19,21.3,80.2,12.9
Tokyo,Japan,2025-11-27,81.67,48.36,65.97,14.21,17.32,37.69,14.68,27.3,47.8,8.1
Sao Paulo,Brazil,2021-12-02,139.89,37.35,71.5,20.33,15.34,30.68,16.41,26.7,75.6,4.1
Mexico City,Mexico,2018-12-13,167.55,77.25,,20.96,31.74,42.59,41.54,-3.6,47.3,3.8
Mumbai,India,2024-08-15,156.63,78.45,134.94,15.16,17.0,42.02,29.61,22.7,62.9,1.4
Bangkok,Thailand,2020-08-06,201.38,83.19,125.03,36.09,30.61,62.57,33.1,31.2,73.5,7.0
Lagos,Nigeria,2024-11-28,219.95,110.51,207.27,36.99,34.06,72.84,31.59,31.2,68.7,4.0
Lagos,Nigeria,2018-04-12,133.4,73.2,143.05,20.05,17.09,46.46,35.6,25.8,59.1,3.0
Mexico City,Mexico,2015-08-13,163.92,64.67,98.83,33.91,27.39,47.3,22.3,7.7,66.6,3.0
New York,USA,2025-10-16,42.75,32.48,47.59,14.33,1.55,14.97,5.22,22.7,62.6,2.0
Mexico City,Mexico,2024-08-29,141.53,46.89,106.02,15.17,22.68,26.93,30.35,15.8,68.0,6.5
Mexico City,Mexico,2025-02-20,194.94,101.99,216.1,33.92,19.62,55.1,36.48,26.8,95.0,3.5
Dubai,UAE,2016-05-12,109.4,39.99,57.1,12.27,16.93,7.55,7.8,51.7,55.0,10.3
New York,USA,2021-12-09,71.29,38.56,97.67,13.71,6.41,33.07,17.37,14.9,58.1,2.7
Singapore,Singapore,2017-07-27,65.06,25.41,55.88,10.94,12.42,29.62,11.65,-0.1,95.0,2.7
Paris,France,2018-04-19,45.03,22.4,72.64,9.59,3.23,11.65,10.65,21.7,65.4,8.1
Sao Paulo,Brazil,2015-09-17,99.19,33.6,58.5,22.6,19.81,21.65,20.12,22.9,70.6,3.6
Bangkok,Thailand,2020-12-24,147.76,77.09,144.51,23.91,17.84,49.91,32.78,19.5,67.1,9.7
Shanghai,China,2017-07-13,94.49,34.18,45.67,14.87,19.36,15.62,16.93,19.9,60.0,2.7
Cairo,Egypt,2024-02-29,223.19,106.54,214.88,34.1,27.87,56.57,38.9,30.5,83.6,9.0
Karachi,Pakistan,2021-11-18,247.33,105.03,194.48,38.09,33.16,65.42,43.14,20.0,66.7,6.8
Los Angeles,USA,2015-03-05,65.61,29.65,57.82,8.16,16.48,8.44,14.98,10.1,73.0,1.9
Cairo,Egypt,2016-03-24,174.24,75.89,171.6,24.7,12.71,44.59,14.47,27.0,65.0,5.6
Paris,France,2023-09-07,66.4,11.33,30.11,3.22,15.37,14.4,17.71,34.3,63.2,2.7
Jakarta,Indonesia,2017-04-06,148.58,69.75,147.23,22.39,23.3,40.45,17.91,23.9,84.0,7.1
Mexico City,Mexico,2024-05-02,149.47,71.88,128.38,26.97,24.01,42.98,39.25,28.7,42.1,7.0
Dhaka,Bangladesh,2024-08-22,288.42,113.87,171.29,48.26,42.27,58.2,57.98,8.0,79.7,1.4
Lagos,Nigeria,2019-02-21,204.15,67.09,134.31,36.33,27.74,60.05,32.44,35.3,73.6,6.6
Mexico City,Mexico,2016-08-04,158.74,63.86,94.53,22.02,20.09,46.79,31.86,24.9,71.1,12.0
Toronto,Canada,2021-08-05,76.64,12.96,33.7,23.34,10.81,25.95,6.2,21.1,29.5,1.8
New York,USA,2024-03-28,74.69,26.66,37.29,10.53,0.4,4.07,8.51,21.1,59.9,3.5
Istanbul,Turkey,2018-05-10,136.75,46.91,73.22,32.4,10.63,38.68,36.24,10.7,40.8,2.9
Karachi,Pakistan,2023-04-20,76.33,29.3,41.63,22.18,8.53,19.62,13.09,33.7,71.1,2.3
Bangkok,Thailand,2022-03-31,133.39,54.45,100.61,23.78,29.16,25.22,16.94,10.8,82.5,2.7
Berlin,Germany,2021-02-11,66.41,19.2,34.24,13.44,3.67,28.69,11.29,38.0,58.1,9.5
Istanbul,Turkey,2019-01-31,141.97,49.39,65.06,24.13,25.56,43.43,24.55,28.0,72.9,2.1
Moscow,Russia,2025-11-13,141.87,52.89,105.01,27.44,18.96,33.03,24.62,8.6,47.0,6.8
Dubai,UAE,2020-01-02,99.23,54.63,101.67,13.15,7.21,22.99,0.0,25.3,69.0,4.1
Karachi,Pakistan,2020-10-01,112.62,35.31,47.51,22.86,16.77,21.15,28.85,19.5,78.3,6.6
Seoul,South Korea,2021-02-11,152.98,61.15,90.48,29.53,24.2,47.55,29.68,18.2,56.7,8.8
Toronto,Canada,2017-07-13,45.88,47.59,116.14,14.78,9.47,16.97,11.42,1.9,49.2,3.7
Dubai,UAE,2017-07-06,127.79,66.75,92.52,21.79,18.1,38.18,24.6,31.9,61.8,4.3
Seoul,South Korea,2017-06-08,119.21,52.01,83.66,15.13,16.36,33.03,20.32,18.8,71.2,1.1
Dubai,UAE,2019-10-03,75.0,23.37,38.57,17.44,14.7,31.75,3.5,19.3,57.6,5.4
Jakarta,Indonesia,2022-01-20,225.02,102.62,189.31,33.99,30.6,60.4,32.31,25.1,82.4,6.3
Nairobi,Kenya,2024-05-16,133.44,59.16,109.5,27.42,9.77,36.09,30.32,6.5,72.1,8.6
Mexico City,Mexico,2017-10-26,98.61,34.2,86.68,4.65,18.08,22.69,31.05,28.2,59.8,2.1
Nairobi,Kenya,2020-06-04,87.77,65.36,123.93,15.46,13.76,10.72,19.6,25.0,63.6,9.5
Paris,France,2025-07-10,54.08,16.08,45.41,4.55,9.32,38.86,4.29,14.2,60.7,7.8
Mexico City,Mexico,2019-05-09,175.86,75.72,151.42,29.17,22.85,62.79,38.74,17.5,52.4,12.5
Cairo,Egypt,2022-03-31,122.01,39.55,99.84,14.36,6.28,21.42,18.1,8.3,69.6,2.7
London,UK,2018-04-26,35.97,31.4,60.77,5.87,10.8,9.19,0.0,16.9,83.3,2.1
Delhi,India,2025-12-11,253.14,71.74,130.32,33.6,31.06,68.32,43.97,28.0,77.8,7.5
Jakarta,Indonesia,2025-01-09,198.39,82.43,,23.5,22.03,54.53,48.86,37.3,86.6,1.7
Berlin,Germany,2024-03-28,51.0,48.43,50.13,8.18,0.0,24.71,6.52,23.1,82.6,13.8
Mexico City,Mexico,2016-07-07,150.55,48.53,69.45,22.01,26.23,29.19,40.37,12.9,66.2,8.0
Singapore,Singapore,2017-10-19,43.32,27.61,56.06,5.95,12.74,4.96,12.92,20.4,61.1,3.6
London,UK,2016-01-21,81.63,14.6,7.99,10.07,8.2,20.72,12.69,17.7,58.7,4.4
Paris,France,2019-08-01,54.58,39.29,53.56,0.0,4.88,23.71,2.54,14.1,93.8,7.4
Beijing,China,2024-05-09,140.85,47.44,74.25,29.79,19.52,45.73,16.21,34.2,58.4,1.7
Lagos,Nigeria,2019-09-19,184.18,71.23,107.51,19.84,24.62,62.71,23.39,27.2,54.9,4.3
Jakarta,Indonesia,2019-03-14,186.93,78.58,171.03,31.2,27.45,54.43,27.17,33.1,69.5,2.8
Mexico City,Mexico,2020-04-16,135.95,68.0,137.17,28.41,21.93,29.89,29.58,24.7,82.6,11.0
Delhi,India,2025-06-26,122.45,36.83,98.68,29.77,11.55,15.94,23.72,24.2,70.0,10.4
Berlin,Germany,2019-05-02,52.06,32.17,51.6,11.79,11.85,22.86,10.99,33.7,52.0,5.2
Dubai,UAE,2024-04-18,113.57,44.92,120.55,14.38,21.44,27.37,3.81,19.2,62.3,2.3
Toronto,Canada,2017-05-04,49.11,43.03,,4.72,1.02,26.35,3.64,22.5,87.5,4.9
Buenos Aires,Argentina,2017-05-04,94.7,21.3,28.43,3.76,10.3,29.51,25.5,30.2,69.8,2.1
Beijing,China,2024-09-12,168.37,77.68,131.44,28.33,30.57,28.79,25.17,17.5,41.3,1.6
New York,USA,2018-07-19,67.66,15.77,16.04,5.66,9.68,13.35,9.38,13.7,55.3,3.7
Los Angeles,USA,2024-01-11,106.96,43.98,104.87,18.74,15.12,36.19,23.76,19.7,55.5,7.8
Lahore,Pakistan,2023-05-11,200.97,72.21,131.3,45.61,23.94,52.37,35.99,36.6,92.2,7.2
Berlin,Germany,2022-03-03,55.92,26.02,59.53,5.13,8.46,4.12,6.16,10.6,35.4,5.4
Paris,France,2017-06-15,93.93,64.05,118.18,18.61,6.65,14.8,16.52,15.1,67.2,6.5
Los Angeles,USA,2018-08-09,79.48,31.49,20.34,26.39,5.18,32.77,11.74,25.1,60.7,3.2
Dubai,UAE,2017-04-13,91.74,35.46,78.12,19.02,0.0,19.77,23.31,20.6,75.3,4.6
Sao Paulo,Brazil,2021-12-30,112.42,44.15,74.94,9.22,17.52,23.82,21.72,29.8,56.7,10.7
Beijing,China,2018-10-25,194.66,71.78,116.85,26.89,26.29,52.43,52.43,31.4,40.3,4.7
Singapore,Singapore,2015-03-26,51.05,40.99,65.36,1.12,5.65,32.9,0.0,9.5,87.5,12.4
Beijing,China,2019-09-26,121.34,48.7,66.72,15.23,17.27,43.0,22.41,21.2,61.6,2.7
Beijing,China,2017-08-31,170.04,68.67,161.85,17.39,12.62,61.07,36.0,29.8,59.8,6.7
London,UK,2020-12-10,74.09,23.59,46.4,18.99,11.46,17.9,1.6,14.4,78.4,14.9
Lagos,Nigeria,2025-10-16,138.8,55.97,145.38,28.09,14.74,48.11,22.15,15.0,59.5,2.2
Istanbul,Turkey,2021-05-06,126.46,41.18,49.93,21.71,14.62,32.18,26.65,46.7,70.1,0.7
Tehran,Iran,2024-05-09,153.0,63.38,132.65,17.07,16.43,49.56,23.34,3.6,77.7,9.1
Istanbul,Turkey,2016-11-03,140.63,66.51,100.74,15.7,16.29,36.64,33.79,11.0,54.2,6.3
Delhi,India,2022-08-04,150.39,67.77,149.11,25.33,23.05,45.28,37.46,23.5,79.9,13.4
Tokyo,Japan,2016-01-21,61.82,20.94,32.45,14.88,0.0,30.72,23.91,22.5,50.9,7.4
Buenos Aires,Argentina,2020-07-16,109.49,44.94,74.27,16.25,21.78,34.98,27.87,14.3,55.8,6.1
Dubai,UAE,2025-10-23,130.76,44.52,116.82,16.43,15.32,42.76,35.1,27.9,87.2,6.9
Toronto,Canada,2025-01-16,88.35,55.66,101.72,12.41,12.24,34.87,14.63,22.3,42.0,5.3
Seoul,South Korea,2021-12-16,170.57,69.17,157.74,28.9,18.63,69.24,20.85,21.2,31.6,5.9
Istanbul,Turkey,2015-11-12,162.44,85.99,134.76,32.89,23.46,55.41,27.81,5.5,67.7,9.9
Los Angeles,USA,2022-06-30,60.93,43.69,96.09,3.55,4.47,1.2,17.87,8.5,55.8,1.5
Seoul,South Korea,2025-05-15,119.74,51.99,62.06,13.29,16.31,44.06,27.17,30.3,64.6,2.7
Dubai,UAE,2023-04-20,63.75,17.84,16.31,20.6,13.78,22.86,22.57,24.3,31.2,10.3
Bangkok,Thailand,2022-08-18,126.87,38.99,56.2,14.56,15.43,37.04,20.36,31.5,65.3,7.4
Istanbul,Turkey,2022-11-24,153.84,69.41,136.94,29.81,19.5,42.49,27.68,25.5,64.5,7.1
Mumbai,India,2023-02-16,168.25,55.02,103.95,25.63,19.14,53.0,31.76,30.2,73.9,1.2
Karachi,Pakistan,2018-07-26,129.62,61.04,93.7,20.79,12.76,38.34,2.3,22.8,62.7,2.1
Buenos Aires,Argentina,2020-02-06,119.74,38.2,71.38,24.97,22.28,32.21,15.06,35.3,65.6,0.8
Karachi,Pakistan,2018-11-15,177.59,70.92,152.21,16.75,18.14,44.33,31.36,27.0,65.4,3.4
Tehran,Iran,2017-05-11,158.25,60.56,98.44,24.97,14.26,56.2,38.04,16.8,59.2,2.2
Seoul,South Korea,2016-03-24,84.68,60.44,73.91,11.48,12.34,20.12,1.38,24.0,58.1,3.9
Berlin,Germany,2023-02-16,85.31,32.15,66.41,4.01,15.13,12.94,13.9,32.3,75.4,3.5
Dhaka,Bangladesh,2016-12-22,200.67,98.37,194.6,24.25,22.12,69.57,37.92,16.6,66.6,5.2
Shanghai,China,2022-09-01,139.97,64.72,114.6,18.84,23.85,43.15,26.8,20.4,79.4,5.2
Tokyo,Japan,2022-02-17,72.96,40.67,57.33,20.02,6.27,21.33,5.9,21.6,64.6,2.1
Lahore,Pakistan,2016-06-23,202.39,57.7,112.59,24.74,26.58,43.22,40.59,25.6,67.6,2.6
Lahore,Pakistan,2017-02-02,236.62,95.56,,32.2,28.82,80.2,44.5,30.8,63.5,2.0
Nairobi,Kenya,2017-07-06,119.21,32.54,72.53,23.89,20.71,48.38,27.89,24.1,95.0,2.9
Paris,France,2016-11-03,77.91,57.86,117.61,6.75,5.29,27.55,20.96,38.6,82.3,5.9
Seoul,South Korea,2021-07-15,92.97,35.79,36.12,7.18,13.64,33.02,22.53,31.0,77.4,2.8
Bangkok,Thailand,2023-02-09,183.23,86.6,157.01,26.17,25.05,41.49,32.88,,47.8,8.8
Jakarta,Indonesia,2015-05-07,119.12,44.95,81.87,24.17,16.21,27.52,18.08,21.5,65.6,5.8
Moscow,Russia,2019-07-18,128.79,73.1,177.76,18.26,11.53,30.43,17.4,11.7,87.9,3.2
Cape Town,South Africa,2017-04-20,58.97,29.68,66.97,14.14,7.17,20.12,12.52,-5.7,42.5,2.5
Delhi,India,2025-06-05,260.95,104.07,202.01,43.79,30.26,57.95,48.27,27.7,95.0,2.7
Cairo,Egypt,2021-06-24,202.18,80.67,136.97,41.12,20.72,61.39,35.07,21.8,76.8,5.3
Moscow,Russia,2023-04-06,101.1,33.44,45.27,23.36,23.19,28.96,29.85,32.2,48.6,3.7
Singapore,Singapore,2025-03-06,69.87,12.63,0.0,8.72,0.0,16.95,21.04,35.7,78.0,8.0
Tehran,Iran,2025-07-10,179.62,82.93,164.75,27.87,18.7,59.55,27.88,6.9,52.2,3.2
Dhaka,Bangladesh,2023-03-16,147.31,69.75,136.95,23.02,12.52,58.28,20.75,36.3,70.6,3.0
Dhaka,Bangladesh,2019-01-24,197.18,87.4,166.14,34.92,33.21,61.54,45.4,17.1,43.5,2.1
Cape Town,South Africa,2024-04-04,95.28,35.8,57.68,17.14,20.19,27.56,17.95,15.3,87.9,4.1
Moscow,Russia,2023-09-07,62.34,34.63,80.92,13.4,8.95,15.51,12.38,23.4,70.1,8.6
Moscow,Russia,2016-08-25,142.1,69.59,134.42,27.45,15.84,37.87,27.52,21.5,29.8,2.1
Singapore,Singapore,2017-08-24,65.5,26.26,48.12,16.09,6.09,17.02,13.03,14.8,72.3,4.7
New York,USA,2017-09-21,55.87,27.38,76.01,4.09,1.93,20.15,5.32,36.7,54.6,2.5
Dubai,UAE,2021-12-09,153.66,49.33,116.91,25.84,21.21,39.39,36.81,16.0,78.1,1.6
Mexico City,Mexico,2015-07-30,63.64,4.65,13.12,8.33,17.99,20.91,11.89,3.8,46.1,6.7
Bangkok,Thailand,2020-02-13,178.57,84.8,141.72,16.3,22.19,32.32,26.72,3.0,53.7,2.9
Cairo,Egypt,2021-10-14,100.4,57.96,122.78,26.08,16.29,24.78,16.92,14.2,50.7,3.9
Bangkok,Thailand,2022-12-22,178.78,74.47,146.98,29.76,19.89,54.98,49.76,14.7,61.8,0.9
Beijing,China,2025-02-06,327.45,147.4,281.81,51.34,35.41,93.13,60.54,43.4,57.3,10.6
Sao Paulo,Brazil,2020-08-13,114.17,45.95,87.27,26.27,16.38,37.9,19.79,17.7,37.6,12.8
London,UK,2022-12-08,61.05,27.58,23.07,8.23,6.64,23.55,22.9,21.0,52.5,2.6
Lagos,Nigeria,2023-04-06,103.58,38.05,52.79,18.38,12.71,18.48,21.03,46.8,57.2,7.4
Berlin,Germany,2018-07-05,54.42,3.63,28.66,8.36,13.36,20.87,14.93,21.6,67.4,8.6
Mexico City,Mexico,2022-03-24,127.33,41.63,98.37,24.77,13.65,30.47,12.88,23.2,81.8,2.3
Seoul,South Korea,2018-11-08,116.46,13.24,3.45,23.71,22.36,14.87,12.75,32.3,52.2,3.1
Toronto,Canada,2016-06-16,87.96,43.13,91.57,9.15,13.02,34.94,14.29,12.9,95.0,3.6
Bangkok,Thailand,2024-01-11,158.51,70.62,100.07,35.39,25.16,48.66,27.36,21.7,59.4,8.2
Dhaka,Bangladesh,2021-12-02,268.57,104.0,227.08,36.01,42.09,71.62,49.96,36.6,57.0,8.1
New York,USA,2016-02-18,85.63,26.09,63.9,13.99,11.34,22.65,11.86,2.2,69.1,4.7
Mexico City,Mexico,2025-05-29,102.87,37.24,80.83,14.04,12.36,23.03,21.74,3.8,64.4,4.4
Delhi,India,2015-05-14,172.51,80.32,165.95,27.48,18.57,32.34,27.97,13.8,66.6,3.4
Lagos,Nigeria,2019-07-18,211.15,85.97,131.26,32.95,34.9,65.46,34.86,5.7,94.4,2.3
Nairobi,Kenya,2025-01-09,134.71,51.97,124.39,23.7,13.51,55.38,24.21,2.8,55.5,7.5
Mexico City,Mexico,2020-06-04,129.44,54.97,128.59,22.75,17.96,47.6,25.3,14.9,81.3,3.5
Karachi,Pakistan,2023-10-05,123.19,33.85,71.48,8.68,13.73,30.71,35.28,30.4,51.5,5.3
Paris,France,2018-12-20,59.62,36.54,52.28,2.75,4.73,13.98,5.88,7.1,76.3,6.3
Berlin,Germany,2022-07-21,61.57,25.0,26.32,12.46,7.29,24.13,4.08,1.9,33.1,3.3
Tokyo,Japan,2015-06-25,35.67,27.98,18.67,11.1,2.8,16.31,0.0,31.7,43.0,2.6
Jakarta,Indonesia,2020-04-16,196.54,81.33,149.31,28.27,21.79,55.8,25.94,17.2,76.5,4.4
Sydney,Australia,2015-11-19,69.81,2.37,6.07,18.33,10.44,1.38,16.91,22.4,59.9,4.9
Bangkok,Thailand,2016-04-21,126.7,42.15,94.71,23.87,21.46,54.91,26.38,17.2,79.1,2.8
Paris,France,2018-02-22,83.17,23.82,31.67,22.62,7.44,35.41,24.85,14.2,68.8,6.3
Karachi,Pakistan,2016-07-14,177.07,76.43,139.16,25.03,25.66,40.76,41.36,15.0,34.4,4.7
Los Angeles,USA,2021-12-30,99.87,41.55,59.18,15.81,13.87,18.59,12.98,9.7,91.1,2.0
Tokyo,Japan,2025-02-27,50.86,26.08,19.92,9.96,3.64,6.97,10.17,23.9,87.5,5.3
New York,USA,2016-08-11,76.59,40.19,78.14,13.49,12.65,15.4,9.55,34.3,93.0,2.1
Berlin,Germany,2020-02-13,71.76,47.16,116.98,14.74,9.89,12.01,0.0,25.1,82.3,3.8
Berlin,Germany,2016-12-29,74.59,48.44,87.13,24.07,1.0,12.76,10.83,30.6,68.5,2.6
Moscow,Russia,2015-03-26,79.69,38.88,63.4,10.56,10.36,32.67,7.21,27.6,76.9,7.1
Sao Paulo,Brazil,2023-05-11,85.77,26.89,46.23,12.57,15.07,19.36,21.26,23.4,61.7,1.3
Sao Paulo,Brazil,2023-05-04,86.62,42.03,77.21,11.92,12.78,9.23,13.36,0.7,58.2,9.5
Beijing,China,2019-02-28,219.07,77.75,162.64,41.01,30.44,57.68,42.63,13.9,74.5,10.0
Karachi,Pakistan,2024-12-19,163.62,56.19,71.1,37.95,27.1,44.71,25.96,25.9,61.5,7.0
Berlin,Germany,2024-09-12,45.51,45.75,84.77,15.21,8.71,4.42,0.0,5.6,74.5,1.4
Mumbai,India,2020-01-23,125.56,38.24,64.53,10.41,23.75,13.93,26.86,1.3,64.1,6.2
Cape Town,South Africa,2025-10-23,76.68,29.59,63.65,17.45,15.16,17.35,10.49,36.5,74.7,2.7
Beijing,China,2018-01-25,211.43,77.64,161.83,34.07,18.28,58.47,44.91,33.6,67.4,4.1
Tokyo,Japan,2024-07-18,63.06,17.75,45.97,,12.11,18.52,12.06,30.0,73.2,4.5
Delhi,India,2023-10-19,210.84,93.17,187.7,29.95,27.88,53.35,32.5,13.5,90.7,3.4
Tokyo,Japan,2020-08-27,52.96,28.41,40.03,19.25,13.94,17.48,4.75,22.4,46.8,5.7
Lahore,Pakistan,2022-12-01,258.04,119.28,232.15,41.06,30.85,55.43,51.25,24.0,95.0,3.3
Toronto,Canada,2023-02-02,88.14,43.51,75.22,23.32,7.96,9.33,9.78,18.6,55.5,2.7
Los Angeles,USA,2017-04-06,87.31,41.68,48.52,14.89,7.73,25.46,19.42,29.5,50.2,2.1
Bangkok,Thailand,2021-04-22,136.27,46.92,83.61,32.16,18.05,52.66,20.4,15.8,83.9,4.5
Tokyo,Japan,2020-10-08,35.45,19.12,60.29,6.98,1.64,21.23,0.98,19.8,56.3,1.7
Singapore,Singapore,2024-11-14,116.41,37.64,65.53,23.8,14.71,29.7,21.65,25.0,45.5,5.8
Delhi,India,2020-06-04,173.25,72.19,127.91,25.58,21.86,36.06,27.39,,52.9,3.9
Buenos Aires,Argentina,2021-04-22,81.77,28.68,78.81,5.19,11.12,21.49,7.7,13.5,60.4,4.8
Mexico City,Mexico,2016-09-22,109.58,54.41,109.02,,4.95,32.01,32.13,25.9,53.4,1.3
Shanghai,China,2019-05-23,145.19,55.07,118.91,26.43,21.29,47.86,29.83,18.9,46.8,3.5
Moscow,Russia,2016-07-14,84.84,51.09,112.29,12.43,0.68,23.24,9.13,-2.0,73.7,10.6
Dhaka,Bangladesh,2017-03-16,194.28,66.99,118.03,35.56,17.58,64.2,36.04,34.5,51.5,0.9
New York,USA,2018-11-15,100.27,43.94,74.62,18.45,19.06,22.89,25.29,27.7,62.9,1.6
Tehran,Iran,2018-07-19,204.51,93.71,185.25,19.06,32.43,56.32,34.8,19.1,44.0,11.3
Dubai,UAE,2022-02-03,141.58,63.04,125.79,24.51,9.18,36.7,26.99,19.1,55.1,4.0
Istanbul,Turkey,2017-09-14,99.56,52.53,86.51,12.92,16.55,39.84,16.2,26.5,80.6,2.2
Nairobi,Kenya,2015-04-09,85.15,19.85,61.32,13.31,10.27,15.81,7.43,25.6,75.0,5.0
Singapore,Singapore,2021-01-14,74.74,52.17,106.26,16.02,9.52,27.8,9.85,21.6,80.7,2.3
Lahore,Pakistan,2021-07-29,241.34,81.24,169.0,50.42,23.86,71.75,45.75,25.8,56.4,4.6
Los Angeles,USA,2016-10-06,92.35,50.51,109.58,14.41,14.01,2.68,18.96,39.2,56.3,2.0
Sydney,Australia,2023-08-31,57.18,20.71,46.01,8.43,6.4,14.25,11.22,30.6,58.3,7.2
Moscow,Russia,2022-12-15,120.07,60.15,110.79,16.25,13.86,35.65,5.71,13.8,74.0,0.5
Delhi,India,2018-05-03,189.28,69.7,132.87,28.11,23.53,53.38,40.86,29.0,54.1,5.5
Jakarta,Indonesia,2019-06-13,193.48,79.57,115.85,20.23,19.93,51.34,32.89,32.6,69.6,6.8
Jakarta,Indonesia,2020-06-11,198.2,70.14,136.43,29.13,28.91,58.88,42.61,26.6,57.5,5.1
